/home/rth/jgmandjes/.conda/envs/voxelmorph/lib/python3.10/site-packages/torch/functional.py:539: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:3637.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
Epoch 1/1500 - 0.3353 sec/step - loss: 2.2794e-02  (2.2789e-02, 4.6582e-06)
Epoch 2/1500 - 0.3197 sec/step - loss: 2.1732e-02  (2.1724e-02, 8.4987e-06)
Epoch 3/1500 - 0.3195 sec/step - loss: 1.9837e-02  (1.9342e-02, 4.9426e-04)
Epoch 4/1500 - 0.3198 sec/step - loss: 1.8344e-02  (1.7449e-02, 8.9498e-04)
Epoch 5/1500 - 0.3198 sec/step - loss: 1.6825e-02  (1.5909e-02, 9.1606e-04)
Epoch 6/1500 - 0.3190 sec/step - loss: 1.6147e-02  (1.5064e-02, 1.0837e-03)
Epoch 7/1500 - 0.3210 sec/step - loss: 1.5252e-02  (1.4127e-02, 1.1252e-03)
Epoch 8/1500 - 0.3208 sec/step - loss: 1.5185e-02  (1.3871e-02, 1.3136e-03)
Epoch 9/1500 - 0.3201 sec/step - loss: 1.6005e-02  (1.4725e-02, 1.2803e-03)
Epoch 10/1500 - 0.3208 sec/step - loss: 1.3977e-02  (1.2660e-02, 1.3171e-03)
Epoch 11/1500 - 0.3202 sec/step - loss: 1.4521e-02  (1.3190e-02, 1.3306e-03)
Epoch 12/1500 - 0.3206 sec/step - loss: 1.3573e-02  (1.2214e-02, 1.3591e-03)
Epoch 13/1500 - 0.3197 sec/step - loss: 1.4422e-02  (1.2903e-02, 1.5184e-03)
Epoch 14/1500 - 0.3206 sec/step - loss: 1.4102e-02  (1.2625e-02, 1.4774e-03)
Epoch 15/1500 - 0.3204 sec/step - loss: 1.3850e-02  (1.2462e-02, 1.3884e-03)
Epoch 16/1500 - 0.3195 sec/step - loss: 1.3625e-02  (1.2170e-02, 1.4552e-03)
Epoch 17/1500 - 0.3204 sec/step - loss: 1.2897e-02  (1.1483e-02, 1.4136e-03)
Epoch 18/1500 - 0.3201 sec/step - loss: 1.3806e-02  (1.2357e-02, 1.4486e-03)
Epoch 19/1500 - 0.3203 sec/step - loss: 1.3112e-02  (1.1631e-02, 1.4810e-03)
Epoch 20/1500 - 0.3198 sec/step - loss: 1.4234e-02  (1.2833e-02, 1.4011e-03)
Epoch 21/1500 - 0.3183 sec/step - loss: 1.3234e-02  (1.1811e-02, 1.4221e-03)
Epoch 22/1500 - 0.3213 sec/step - loss: 1.2929e-02  (1.1465e-02, 1.4646e-03)
Epoch 23/1500 - 0.3209 sec/step - loss: 1.3014e-02  (1.1508e-02, 1.5060e-03)
Epoch 24/1500 - 0.3210 sec/step - loss: 1.2870e-02  (1.1391e-02, 1.4785e-03)
Epoch 25/1500 - 0.3220 sec/step - loss: 1.2999e-02  (1.1470e-02, 1.5284e-03)
Epoch 26/1500 - 0.3218 sec/step - loss: 1.2390e-02  (1.0862e-02, 1.5279e-03)
Epoch 27/1500 - 0.3200 sec/step - loss: 1.3050e-02  (1.1412e-02, 1.6374e-03)
Epoch 28/1500 - 0.3204 sec/step - loss: 1.3388e-02  (1.1774e-02, 1.6141e-03)
Epoch 29/1500 - 0.3196 sec/step - loss: 1.2619e-02  (1.0999e-02, 1.6205e-03)
Epoch 30/1500 - 0.3209 sec/step - loss: 1.2876e-02  (1.1302e-02, 1.5740e-03)
Epoch 31/1500 - 0.3194 sec/step - loss: 1.2851e-02  (1.1185e-02, 1.6662e-03)
Epoch 32/1500 - 0.3186 sec/step - loss: 1.2520e-02  (1.0941e-02, 1.5792e-03)
Epoch 33/1500 - 0.3197 sec/step - loss: 1.2105e-02  (1.0481e-02, 1.6242e-03)
Epoch 34/1500 - 0.3198 sec/step - loss: 1.2662e-02  (1.1035e-02, 1.6269e-03)
Epoch 35/1500 - 0.3190 sec/step - loss: 1.2694e-02  (1.1028e-02, 1.6657e-03)
Epoch 36/1500 - 0.3205 sec/step - loss: 1.2135e-02  (1.0514e-02, 1.6208e-03)
Epoch 37/1500 - 0.3198 sec/step - loss: 1.3230e-02  (1.1579e-02, 1.6510e-03)
